,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
33,mungaa,-4.9667,34.8833,72.18,64,15,8.66,TZ,1713773135
34,papao,-17.75,-149.55,82.13,80,20,6.35,PF,1713773135
35,enewetak,11.3474,162.3373,82.26,77,26,16.98,MH,1713773136
36,jamestown,42.097,-79.2353,30.29,89,2,3.44,US,1713773136
37,rantepao,-2.9701,119.8978,75.7,96,100,1.86,ID,1713773137
38,balabac,7.9868,117.0645,87.48,66,10,9.1,PH,1713773137
39,keflavik,64.0049,-22.5624,41.29,76,46,2.55,IS,1713773138
40,georgiyevka,43.0369,74.7114,76.05,40,1,7.54,KZ,1713773139
41,iqaluit,63.7506,-68.5145,-7.56,97,39,6.11,CA,1713773139
42,puerto lempira,15.2667,-83.7667,76.91,87,38,4.79,HN,1713773140
43,al ghayzah,16.2079,52.176,87.64,56,1,12.91,YE,1713773140
44,belyy yar,53.6039,91.3903,53.91,59,98,14.61,RU,1713773141
45,tiksi,71.6872,128.8694,23.9,95,100,16.64,RU,1713773141
46,kemise,10.7167,39.8667,77.0,62,96,6.42,ET,1713773142
47,qaqortoq,60.7167,-46.0333,30.04,84,98,4.18,GL,1713773142
48,haiku-pauwela,20.9219,-156.3051,70.54,80,35,15.75,US,1713773143
49,la passe,45.5549,-0.8967,45.09,68,0,11.1,FR,1713773143
50,eldorado at santa fe,35.5264,-105.9347,43.66,70,0,7.14,US,1713773143
51,aripuana,-9.1667,-60.6333,73.17,100,100,1.19,BR,1713773144
52,ribeira brava,32.65,-17.0667,63.5,61,80,3.02,PT,1713773144
53,cabo san lucas,22.8909,-109.9124,69.66,65,0,14.45,MX,1713772948
54,kimbe,-5.5502,150.1429,80.35,87,54,0.47,PG,1713773145
55,albany,42.6001,-73.9662,31.89,75,6,8.7,US,1713773146
56,vila franca do campo,37.7167,-25.4333,61.45,90,100,2.39,PT,1713773146
57,hermanus,-34.4187,19.2345,64.58,71,66,4.59,ZA,1713773147
58,bredasdorp,-34.5322,20.0403,67.64,62,9,6.58,ZA,1713773147
59,port mathurin,-19.6833,63.4167,80.47,80,50,14.2,MU,1713773148
60,shakhtinsk,49.71,72.5872,76.28,29,0,11.61,KZ,1713773148
61,fort mcmurray,56.7268,-111.381,41.13,58,76,2.71,CA,1713773149
62,chernomorskoye,45.5039,32.6997,56.23,57,100,6.46,UA,1713773149
63,invercargill,-46.4,168.35,48.99,71,90,7.18,NZ,1713773150
64,boende,-0.2167,20.8667,90.19,49,11,3.38,CD,1713773150
65,olonkinbyen,70.9221,-8.7187,25.54,57,0,26.64,SJ,1713773151
66,pantai remis,4.4557,100.6288,86.76,75,92,7.63,MY,1713773151
67,avarua,-21.2078,-159.775,79.29,68,76,14.61,CK,1713773152
68,borogontsy,62.6683,131.1683,36.39,99,96,5.61,RU,1713773153
69,shchigry,51.8755,36.9043,43.39,84,100,18.54,RU,1713773153
70,auch,43.65,0.5833,43.92,67,0,6.06,FR,1713773154
71,greenville,35.6127,-77.3663,47.03,85,100,9.57,US,1713773154
72,goba,7.0167,39.9833,66.42,57,98,5.73,ET,1713773155
73,yarmouth,41.7057,-70.2286,40.66,64,0,11.07,US,1713773155
74,petropavlovsk-kamchatsky,53.0452,158.6483,34.86,84,19,3.58,RU,1713773155
75,lebu,-37.6167,-73.65,52.88,83,100,12.44,CL,1713773156
76,tura,25.5198,90.2201,103.48,11,52,12.33,IN,1713773157
77,bucerias,20.75,-105.3333,68.29,60,0,4.79,MX,1713773158
78,colonia menno,-22.3667,-59.8167,76.3,75,2,9.71,PY,1713773158
79,iquique,-20.2208,-70.1431,67.78,79,47,2.86,CL,1713773159
80,isafjordur,66.0755,-23.124,34.83,86,32,9.17,IS,1713773159
81,georgetown,5.4112,100.3354,87.3,70,100,6.42,MY,1713773159
82,wukari,7.85,9.7833,85.75,64,83,10.6,NG,1713773160
83,mil'kovo,55.6078,37.7956,59.85,59,98,16.31,RU,1713773160
84,acarau,-2.8856,-40.12,76.51,92,100,8.23,BR,1713773097
85,launceston,-41.45,147.1667,55.02,83,73,7.56,AU,1713773161
86,tamanrasset,22.785,5.5228,78.57,12,0,18.1,DZ,1713773162
87,naze,28.3667,129.4833,68.49,93,100,6.13,JP,1713773162
88,kodiak,57.79,-152.4072,37.51,90,77,5.57,US,1713773163
89,mahajanga,-15.7167,46.3167,89.19,57,0,6.11,MG,1713773164
90,jayapura,-2.5333,140.7,78.26,76,87,7.58,ID,1713773164
91,kapa'a,22.0752,-159.319,72.36,68,25,16.64,US,1713773165
92,bilibino,68.0546,166.4372,11.62,83,68,2.44,RU,1713773165
93,baise city,23.8997,106.6133,76.24,80,100,4.27,CN,1713773165
94,port elizabeth,-33.918,25.5701,66.29,83,59,20.56,ZA,1713773166
95,katsuura,35.1333,140.3,61.74,81,100,17.43,JP,1713773166
96,utrik,11.2278,169.8474,82.4,75,100,17.43,MH,1713773167
97,ancud,-41.8697,-73.8203,45.97,86,100,4.63,CL,1713773167
98,wailua homesteads,22.0669,-159.378,70.61,68,45,14.88,US,1713773168
99,papatowai,-46.5619,169.4708,49.57,68,83,12.93,NZ,1713773168
100,kilkis,40.9919,22.8708,55.13,57,100,3.78,GR,1713773169
101,afaahiti,-17.75,-149.2833,79.27,84,84,13.18,PF,1713773169
102,ust-nera,64.5667,143.2,32.7,90,85,3.62,RU,1713773170
103,acapulco de juarez,16.8634,-99.8901,72.14,65,0,3.11,MX,1713773170
104,tsiombe,-25.3,45.4833,83.39,40,0,3.36,MG,1713773171
105,erdenet,49.0333,104.0833,45.46,23,28,12.55,MN,1713773171
106,bonthe,7.5264,-12.505,79.81,89,96,6.29,SL,1713773172
107,batang,-6.4846,110.7083,82.76,80,100,1.63,ID,1713773172
108,pontotoc,34.2479,-88.9987,40.69,74,0,5.86,US,1713773172
109,gwanda,-20.9333,29.0,79.48,26,0,6.2,ZW,1713773173
110,maun,-19.9833,23.4167,83.59,23,0,5.61,BW,1713773173
111,scottsbluff,41.8666,-103.6672,53.46,44,75,11.63,US,1713773174
112,tommot,58.9564,126.2925,43.36,87,100,5.86,RU,1713773174
113,codrington,-38.2667,141.9667,53.92,82,6,4.88,AU,1713773175
114,la'ie,21.6477,-157.9253,72.3,74,28,19.66,US,1713773175
115,phan thiet,10.9333,108.1,89.83,52,61,12.8,VN,1713773176
116,moroto,2.5345,34.6666,76.08,59,58,6.17,UG,1713773176
117,wau,7.7029,27.9953,96.28,32,99,7.29,SS,1713773177
118,karratha,-20.7377,116.8463,85.33,31,1,13.31,AU,1713773177
119,prokuplje,43.2342,21.5881,50.45,65,32,2.98,RS,1713773178
120,choibalsan,48.0667,114.5,49.68,36,100,16.62,MN,1713773178
121,rongelap,11.1635,166.8941,81.99,72,100,18.52,MH,1713773179
122,kourou,5.1552,-52.6478,75.79,95,100,1.95,GF,1713773179
123,commentry,46.2921,2.7416,36.91,76,31,8.28,FR,1713773180
124,dakor,22.75,73.15,101.93,13,0,11.88,IN,1713773180
125,olinda,-8.0089,-34.8553,79.34,84,93,4.07,BR,1713773180
126,stanley,54.868,-1.6985,41.92,95,100,1.39,GB,1713773181
127,vernon,50.2581,-119.2691,37.51,83,63,4.27,CA,1713773181
128,constantia,44.1833,28.65,54.54,79,66,20.71,RO,1713773182
129,khandyga,62.6667,135.6,41.85,88,10,1.36,RU,1713773182
130,illizi,26.4833,8.4667,91.0,8,100,13.06,DZ,1713773183
131,namibe,-15.1961,12.1522,81.57,61,39,2.24,AO,1713773183
132,puerto baquerizo moreno,-0.9,-89.6,74.84,92,29,10.47,EC,1713773184
133,taksimo,56.3444,114.8794,45.91,43,84,8.34,RU,1713773184
134,mount gambier,-37.8333,140.7667,54.9,67,27,3.44,AU,1713773112
135,palangkaraya,-2.2,113.8333,84.97,85,78,2.39,ID,1713773185
136,whakatane,-37.9585,176.9854,60.48,78,91,8.88,NZ,1713773186
137,kushtagi,15.7667,76.2,99.21,22,4,5.06,IN,1713773186
138,punta arenas,-53.15,-70.9167,41.79,82,87,11.95,CL,1713773187
139,fort-shevchenko,44.5086,50.263,59.97,77,95,11.3,KZ,1713773187
140,manokwari,-0.8667,134.0833,84.2,70,33,5.61,ID,1713773188
141,uturoa,-16.7333,-151.4333,83.28,72,3,1.03,PF,1713773188
142,eastham,41.8301,-69.9739,42.98,60,11,15.1,US,1713773188
143,fort bragg,35.139,-79.006,46.42,94,100,7.63,US,1713773189
144,khash,28.2211,61.2158,75.61,19,5,0.72,IR,1713773189
145,tvoroyri,61.5556,-6.8111,44.28,82,37,11.03,FO,1713773190
146,atafu village,-8.5421,-172.5159,85.57,72,54,8.01,TK,1713773190
147,udachny,66.4167,112.4,34.75,100,100,2.24,RU,1713773191
148,thinadhoo,0.5333,72.9333,85.33,70,100,4.56,MV,1713773191
149,whittlesea,-32.1759,26.8244,75.65,32,100,12.39,ZA,1713773192
150,new norfolk,-42.7826,147.0587,54.93,78,100,3.29,AU,1713773192
151,nova sintra,14.8667,-24.7167,72.57,71,89,17.36,CV,1713773193
152,glace bay,46.1969,-59.957,38.61,90,100,13.02,CA,1713773193
153,yankton,42.8711,-97.3973,47.64,49,9,16.17,US,1713772966
154,sisimiut,66.9395,-53.6735,30.99,87,100,5.19,GL,1713773194
155,yima,34.7381,111.8839,76.6,43,100,6.13,CN,1713773195
156,brandon,27.9378,-82.2859,67.86,92,66,9.48,US,1713773195
157,pangani,-5.4333,38.9667,80.11,80,99,12.84,TZ,1713773195
158,taro,-8.3862,115.28,72.09,100,100,0.98,ID,1713773196
159,san antonio de pale,-1.4014,5.6325,84.72,75,100,2.73,GQ,1713773196
160,whitehorse,60.7161,-135.0538,33.3,88,14,5.28,CA,1713773197
161,hithadhoo,-0.6,73.0833,85.14,69,100,2.42,MV,1713773197
162,alice springs,-23.7,133.8833,74.1,35,100,17.22,AU,1713773198
163,tilisarao,-32.7329,-65.2911,58.73,92,15,3.87,AR,1713773198
164,stornoway,58.2093,-6.3865,50.18,83,100,9.4,GB,1713773199
165,tazacorte,28.629,-17.9293,67.35,68,100,6.69,ES,1713773199
166,olyokminsk,60.3736,120.4264,36.79,97,94,8.01,RU,1713773200
167,saint-francois,46.4154,3.9054,39.78,68,47,9.48,FR,1713773200
168,kirakira,-10.4544,161.9205,82.33,85,88,2.51,SB,1713773201
169,wewak,-3.5534,143.6268,83.28,72,85,6.04,PG,1713773201
170,lensk,60.7253,114.9278,37.04,94,100,3.6,RU,1713773202
171,vila velha,-20.3297,-40.2925,71.29,73,0,4.07,BR,1713773202
172,thompson,55.7435,-97.8558,31.73,97,100,3.65,CA,1713773203
173,hailey,43.5196,-114.3153,33.42,60,62,6.67,US,1713773203
174,houlton,46.1262,-67.8403,31.24,86,90,6.22,US,1713773204
175,obo,5.3998,26.4869,92.07,37,44,5.37,CF,1713773204
176,filadelfia,39.9523,-75.1638,42.35,51,67,6.49,US,1713773102
177,sinop,41.7711,34.8709,67.84,29,0,6.46,TR,1713773205
178,shitanjing,39.2342,106.3439,54.03,12,44,37.96,CN,1713773205
179,sur,22.5667,59.5289,89.87,44,0,8.37,OM,1713773206
180,kapuskasing,49.4169,-82.4331,18.14,69,100,5.08,CA,1713773206
181,cova figueira,14.8905,-24.2934,61.5,73,77,9.8,CV,1713773207
182,cidreira,-30.1811,-50.2056,67.35,81,100,3.42,BR,1713773207
183,karpinsk,59.7654,60.0085,51.46,54,22,6.91,RU,1713773208
184,midvagur,62.0511,-7.1939,41.99,77,20,5.7,FO,1713773208
185,pelabuhanratu,-6.9875,106.5514,84.61,75,94,5.32,ID,1713773209
186,north bend,43.4065,-124.2243,45.14,84,72,7.83,US,1713773105
187,novaya lyalya,59.055,60.599,57.9,50,15,4.32,RU,1713773209
188,ketchikan,55.3422,-131.6461,42.46,90,62,8.32,US,1713773210
189,losice,52.2113,22.718,42.4,65,76,15.08,PL,1713773210
190,ushtobe,45.2514,77.9838,78.98,22,0,12.95,KZ,1713773211
191,west island,-12.1568,96.8225,81.03,82,11,21.0,CC,1713773211
192,lata,40.1629,-8.3327,54.72,42,43,8.21,PT,1713773212
193,san patricio,28.017,-97.5169,59.29,70,72,8.03,US,1713773213
194,luanda,-8.8368,13.2343,80.85,82,100,6.78,AO,1713773213
195,djidiouia,35.9299,0.8287,59.7,64,0,5.77,DZ,1713773214
196,carbonear,47.7332,-53.2148,35.89,95,100,1.97,CA,1713773214
197,nurota,40.5614,65.6886,82.44,24,26,5.75,UZ,1713773215
198,badger,64.8,-147.5333,32.13,99,44,1.97,US,1713773215
199,taroa,8.7058,171.2275,82.22,86,79,17.43,MH,1713773216
200,geraldton,-28.7667,114.6,72.39,71,4,26.11,AU,1713773216
201,gaspe,48.8334,-64.4819,34.23,97,100,3.09,CA,1713773217
202,bandarbeyla,9.4942,50.8122,87.39,56,100,7.76,SO,1713773217
203,basyayla,36.7534,32.6802,60.66,32,98,4.43,TR,1713773218
204,zaozersk,69.4005,32.4476,16.65,71,7,20.89,RU,1713773218
205,gigant,46.5066,41.3419,64.06,43,2,2.91,RU,1713773219
206,nagqu,31.5,92.0,50.41,7,100,28.57,CN,1713773219
207,aldan,58.6031,125.3894,38.39,89,100,5.55,RU,1713773220
208,walvis bay,-22.9575,14.5053,79.2,37,0,8.86,NA,1713773220
209,mcalester,34.9334,-95.7697,42.73,62,0,2.13,US,1713773221
210,port lincoln,-34.7333,135.8667,66.4,48,26,3.0,AU,1713773221
211,el granada,37.5027,-122.4694,52.14,86,0,3.29,US,1713773222
212,retreat,38.8245,-85.8533,36.99,72,0,2.15,US,1713773222
213,susuman,62.7833,148.1667,26.62,90,53,1.12,RU,1713773223
214,masterton,-40.9597,175.6575,47.39,95,100,4.7,NZ,1713773223
215,niteroi,-22.8833,-43.1036,67.57,81,0,4.05,BR,1713773224
216,umluj,25.0213,37.2685,93.74,21,0,15.35,SA,1713773224
217,klyuchi,52.2667,79.1667,65.8,22,16,17.2,RU,1713773225
218,thunder bay,48.4001,-89.3168,32.16,90,37,1.1,CA,1713773225
219,port saint john's,-31.6229,29.5448,76.59,80,100,6.11,ZA,1713773225
220,coquimbo,-29.9533,-71.3436,60.87,81,100,0.63,CL,1713773226
221,island harbour,50.724,-1.2758,43.65,74,89,8.61,GB,1713773226
222,vilyuchinsk,52.9306,158.4028,36.75,80,24,3.78,RU,1713773227
223,altai,46.3722,96.2583,41.72,25,61,10.49,MN,1713773228
224,anadyr,64.75,177.4833,15.69,84,100,4.94,RU,1713773228
225,weno,7.4515,151.8468,84.09,81,56,13.56,FM,1713773229
226,itoman,26.1247,127.6694,77.0,85,100,8.99,JP,1713773229
227,mantua,45.1667,10.7833,46.17,77,100,19.55,IT,1713773230
228,mar del plata,-38.0023,-57.5575,54.88,56,99,12.95,AR,1713773230
229,iskateley,67.6803,53.1512,17.38,87,100,3.87,RU,1713773231
230,colonia,50.9333,6.95,44.67,53,100,5.99,DE,1713773231
231,lengshuitan,26.4111,111.5956,75.51,68,11,2.17,CN,1713773232
232,nikolayevsk-on-amure,53.1406,140.73,36.09,77,69,4.65,RU,1713773232
233,saldanha,-33.0117,17.9442,60.31,88,100,10.96,ZA,1713773233
234,kandahar,31.0,65.75,77.5,16,1,8.34,AF,1713773233
235,altay,47.8667,88.1167,62.26,34,9,3.4,CN,1713773234
236,fonte boa,-2.4959,-66.2662,73.02,99,100,1.34,BR,1713773234
237,choyr,46.3611,108.3611,43.86,31,44,17.85,MN,1713773235
238,raalte,52.3858,6.275,43.74,73,100,8.84,NL,1713773235
239,salinopolis,-0.6136,-47.3561,77.92,89,100,3.24,BR,1713773236
240,kamloops,50.6665,-120.3192,40.66,76,98,3.89,CA,1713772973
241,kruisfontein,-34.0033,24.7314,66.09,67,0,14.92,ZA,1713773237
242,pangody,65.85,74.4859,11.41,83,100,19.86,RU,1713773237
243,coruripe,-10.1256,-36.1756,75.97,91,99,3.27,BR,1713773238
244,mejit,10.2753,170.8646,82.08,82,100,17.4,MH,1713773238
245,waingapu,-9.6567,120.2641,84.07,71,99,15.08,ID,1713773239
246,bamboo flat,11.7,92.7167,90.97,57,13,2.37,IN,1713773239
247,williams lake,52.1415,-122.1445,35.26,76,97,2.3,CA,1713773240
248,richards bay,-28.783,32.0377,83.98,45,50,5.95,ZA,1713773241
249,isangel,-19.55,169.2667,79.66,89,100,6.67,VU,1713773242
250,sinabang,2.4803,96.3801,85.35,79,100,5.53,ID,1713773242
251,chonchi,-42.6128,-73.8092,43.57,88,100,0.29,CL,1713773243
252,fale old settlement,-9.3852,-171.2468,85.24,76,10,6.87,TK,1713773243
253,aykhal,66.0,111.5,32.14,100,100,6.42,RU,1713773244
254,huangnihe,43.5583,128.0239,59.65,64,98,6.2,CN,1713773244
255,marsh harbour,26.5412,-77.0636,74.98,77,14,12.86,BS,1713773245
256,erenhot,43.6475,111.9767,54.39,22,99,16.78,CN,1713773245
257,tolanaro,-25.0319,46.9987,77.99,66,0,3.85,MG,1713773246
258,howrah,22.5892,88.3103,111.45,9,100,14.9,IN,1713773241
259,gurupi,-11.7292,-49.0686,74.75,88,96,4.92,BR,1713773246
260,las varillas,-31.8721,-62.7195,67.12,98,100,5.21,AR,1713773247
261,nuoro,40.3211,9.3297,51.66,48,14,9.78,IT,1713773248
262,arkalyk,50.2486,66.9114,76.26,36,0,13.11,KZ,1713773248
263,maputo,-25.9653,32.5892,79.86,54,14,11.68,MZ,1713773248
264,happy valley-goose bay,53.3168,-60.3315,35.47,91,100,4.79,CA,1713773249
265,kingston,17.997,-76.7936,72.91,89,0,3.2,JM,1713773249
266,volodarskiy,46.4013,48.5409,80.26,35,98,9.64,RU,1713773250
267,fort st. john,56.2499,-120.8529,41.25,75,100,5.73,CA,1713773171
268,kyshtovka,56.555,76.6271,46.67,58,91,16.6,RU,1713773251
269,ad dilam,23.9915,47.1627,93.49,10,1,10.2,SA,1713773251
270,villamontes,-21.25,-63.5,68.49,85,74,1.23,BO,1713773252
271,maddela,16.3414,121.6849,90.97,49,62,9.75,PH,1713773253
272,taulaga,-11.0553,-171.0883,84.83,77,10,8.75,AS,1713773253
273,harper,4.375,-7.7169,81.23,84,93,6.33,LR,1713773253
274,miyaly,48.8844,53.7836,81.66,21,7,15.1,KZ,1713773254
275,el calafate,-50.3408,-72.2768,35.26,76,8,5.86,AR,1713773254
276,kavaratti,10.5669,72.642,86.81,70,29,5.95,IN,1713773255
277,avrameni,48.0167,26.95,49.95,63,100,3.94,RO,1713773255
278,i-n-salah,27.1935,2.4607,81.27,13,66,8.12,DZ,1713773256
279,canutama,-6.5339,-64.3831,72.99,99,100,1.52,BR,1713773256
280,twon-brass,4.3151,6.2418,85.42,76,65,9.26,NG,1713773257
281,tres arroyos,-38.3739,-60.2798,50.43,62,100,8.84,AR,1713773257
282,puerto princesa,9.7392,118.7353,87.22,68,29,8.95,PH,1713773258
283,greymouth,-42.4667,171.2,50.13,88,0,4.03,NZ,1713773258
284,ebon,4.582,168.6964,83.43,83,100,13.76,MH,1713773259
285,kwadukuza,-29.3282,31.2895,80.08,52,99,2.33,ZA,1713773259
286,port hueneme,34.1478,-119.1951,55.22,95,79,8.1,US,1713773260
287,mugia,43.1041,-9.2179,55.17,61,5,22.68,ES,1713773260
288,cottage grove,44.8277,-92.9438,42.06,62,11,7.11,US,1713773261
289,dolores,-36.3132,-57.6792,55.69,67,56,12.17,AR,1713773261
290,sitka,57.0531,-135.33,43.36,87,100,4.63,US,1713773262
291,masina,-4.3836,15.3914,80.98,80,93,2.3,CD,1713773262
292,novoul'yanovsk,54.1496,48.3891,64.74,65,100,10.65,RU,1713773263
293,douz,33.4663,9.0203,62.44,52,100,24.09,TN,1713773263
294,gadzhiyevo,69.2551,33.3362,17.44,68,2,20.58,RU,1713773264
295,saudarkrokur,65.7461,-19.6394,38.1,61,100,13.35,IS,1713773265
296,grants,35.1473,-107.8514,53.04,42,1,0.92,US,1713773265
297,la gi,10.6667,107.7833,88.38,56,74,11.52,VN,1713773265
298,kincardine,56.0667,-3.7167,50.68,90,99,3.49,GB,1713773266
299,touros,-5.1989,-35.4608,77.05,92,100,7.25,BR,1713773266
300,kone,-21.0595,164.8658,76.21,91,100,3.58,NC,1713773267
301,ghatkesar,17.4494,78.6853,104.77,16,13,9.82,IN,1713773267
302,nizhneudinsk,54.9076,99.0276,40.59,80,100,5.32,RU,1713773268
303,nar'yan-mar,67.6713,53.087,17.37,88,100,4.0,RU,1713773268
304,saipan,15.1355,145.701,82.31,76,3,16.69,MP,1713773269
305,fada,9.5667,8.3,83.68,53,97,3.89,NG,1713773269
306,baiyin,36.5583,104.2081,56.77,37,100,25.14,CN,1713773270
307,vrangel',42.7297,133.0839,42.33,82,92,16.02,RU,1713773270
308,kayangel,8.0823,134.7173,83.79,81,99,17.63,PW,1713773271
309,hami,42.8,93.45,75.25,10,6,7.11,CN,1713773271
310,laojunmiao,39.8333,97.7333,55.98,15,6,9.19,CN,1713773272
311,porto novo,6.4965,2.6036,82.85,71,100,6.24,BJ,1713773272
312,munoz,15.7161,120.9031,98.46,33,5,15.59,PH,1713773273
313,barcelos,41.5388,-8.6151,59.09,45,1,7.36,PT,1713773273
314,gisborne,-38.6533,178.0042,55.81,85,2,6.82,NZ,1713773274
315,bull savanna,17.8868,-77.5902,73.74,84,0,6.46,JM,1713773274
316,jember,-8.166,113.7032,81.64,91,100,1.57,ID,1713773274
317,swakopmund,-22.6833,14.5333,70.32,56,2,4.7,NA,1713773275
318,alofi,-19.0595,-169.9187,80.15,73,100,11.14,NU,1713773275
319,saint-philippe,-21.3585,55.7679,81.52,77,5,1.99,RE,1713773276
320,sumbe,-11.2061,13.8437,82.72,79,96,3.38,AO,1713773277
321,babayevo,59.3936,35.9371,57.54,69,84,13.71,RU,1713773277
322,dazhou,31.2159,107.5009,61.38,93,100,3.04,CN,1713773278
323,kiunga,-6.1219,141.2906,81.45,88,91,2.59,PG,1713773278
324,minas de marcona,-15.2119,-75.1103,60.71,89,52,7.09,PE,1713773279
325,siwa oasis,29.2041,25.5195,83.41,15,100,17.54,EG,1713773279
326,arkhangel'sk,64.5401,40.5433,29.07,84,100,10.47,RU,1713773280
327,santa ines,-3.6667,-45.38,73.56,98,39,2.39,BR,1713773280
328,burang,30.25,81.1667,38.61,54,12,10.09,CN,1713773281
329,quellon,-43.1167,-73.6167,46.17,87,100,5.55,CL,1713773282
330,sao desiderio,-12.3633,-44.9733,73.18,76,100,4.94,BR,1713773282
331,zemio,5.0314,25.1361,92.35,36,39,3.24,CF,1713773283
332,tralee,52.2704,-9.7026,53.58,81,60,2.24,IE,1713773283
333,fortuna,40.5982,-124.1573,47.26,83,89,2.75,US,1713773284
334,nelson bay,-32.7167,152.15,69.13,61,38,7.05,AU,1713773284
335,aiquile,-18.2041,-65.1807,56.08,85,29,3.53,BO,1713773285
336,wakkanai,45.4094,141.6739,39.13,87,95,11.88,JP,1713773285
337,velenje,46.3592,15.1103,44.8,60,100,3.02,SI,1713773286
338,paita,-5.0892,-81.1144,71.91,81,100,8.88,PE,1713773286
339,merizo village,13.2658,144.6691,81.21,80,28,15.55,GU,1713773286
340,johnson city,36.3134,-82.3535,40.62,71,100,2.15,US,1713773287
341,le treport,50.0598,1.3758,45.45,68,10,6.51,FR,1713773287
342,arraial do cabo,-22.9661,-42.0278,72.41,76,0,15.95,BR,1713773288
343,midoun,33.8081,10.9923,62.31,73,100,18.39,TN,1713773288
344,hasaki,35.7333,140.8333,61.83,70,100,12.3,JP,1713773289
345,port alfred,-33.5906,26.891,74.75,85,78,16.46,ZA,1713773289
346,taradale,-39.5333,176.85,54.23,90,100,13.47,NZ,1713773290
347,callao,-12.0667,-77.15,68.97,90,60,8.41,PE,1713773290
348,new richmond,45.123,-92.5366,38.95,64,18,8.28,US,1713773291
349,priargunsk,50.3691,119.1012,47.01,47,100,16.98,RU,1713773291
350,castillos,-34.1667,-53.8333,63.41,97,100,7.65,UY,1713773292
351,suriapet,17.15,79.6167,107.53,14,4,8.68,IN,1713773292
352,liepaja,56.5419,21.0367,35.37,97,100,19.93,LV,1713773293
353,mutuali,-14.8706,37.0044,81.37,55,4,1.52,MZ,1713773293
354,fernandina beach,30.6697,-81.4626,57.87,85,100,10.47,US,1713773178
355,ixtapa,20.7,-105.2,68.05,44,0,2.55,MX,1713773294
356,klaksvik,62.2266,-6.589,44.06,78,18,8.81,FO,1713773294
357,constitucion,-35.3333,-72.4167,58.23,91,100,23.89,CL,1713773295
358,musan-up,42.2261,129.2078,54.45,67,86,6.35,KP,1713773295
359,bulayevo,54.9056,70.4439,59.65,39,11,7.05,KZ,1713773296
360,la ronge,55.1001,-105.2842,31.93,95,68,5.99,CA,1713773296
361,colares,38.7992,-9.4469,61.7,73,73,8.12,PT,1713773297
362,necochea,-38.5473,-58.7368,52.38,64,100,8.37,AR,1713773297
363,harpswell center,43.8018,-69.9842,39.24,63,0,11.99,US,1713773298
364,lunglei,22.8833,92.7333,96.55,29,100,7.25,IN,1713773298
365,tazovsky,67.4667,78.7,9.21,83,100,12.12,RU,1713773299
366,inderbor,48.55,51.7833,83.44,19,94,13.13,KZ,1713773299
367,xuddur,4.1213,43.8894,81.32,61,100,9.28,SO,1713773300
